level,item_code,keyword,cereal_category,new_category,final_category,milk_conversion,tag,dropdown,food_group_code,remark,frequency,units,veg,nonveg,unit_factor,Group_NIN,na,food_group,food_group_code_ICMR,veg_ICMR,nonveg_ICMR,Protein,Fat,Carbohydrates,Energy,Total dietary fibre,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B6,Vitamin B9,Vitamin C,Vitamin A,Vitamin D,Calcium (mg),Magnesium (mg),Iron (mg),Zinc (mg)
5,164,ghee,,#N/A,#N/A,22,,,6,,7,kg,300,300,1,Milk/curd,Milk/curd,Milk/curd,7,,,21.6,18.6,16,337,0,125,388,275,7.5,12,2,76.5,0.02,755,7,2,0.28
5,165,butter,,#N/A,#N/A,17.9,,,6,,7,kg,300,300,1,Milk/curd,Milk/curd,Milk/curd,7,,,21.6,18.6,16,337,0,125,388,275,7.5,12,2,76.5,0.02,755,7,2,0.28
5,5,cheese (gm),,#N/A,#N/A,5.8,,,6,,7,gm,300,300,1000,Milk/curd,Milk/curd,Milk/curd,7,,,21.6,18.6,16,337,0,125,388,275,7.5,12,2,76.5,0.02,755,7,2,0.28
5,162,milk: condensed/ powder,,#N/A,#N/A,5.5,,,6,,7,kg,300,300,1,Milk/curd,Milk/curd,Milk/curd,7,,,3.1,4.2,5,72,0,80,80,140,16,3,3,17.2,0.57,127.6,0,0.2,0.1
5,3,paneer,,#N/A,#N/A,4.9,,,6,,7,kg,300,300,1,Milk/curd,Milk/curd,Milk/curd,7,,,21.6,18.6,16,337,0,125,388,275,7.5,12,2,76.5,0.02,755,7,2,0.28
5,160,milk: liquid (litre),,#N/A,#N/A,1.03,,,6,,7,litre,300,300,1,Milk/curd,Milk/curd,Milk/curd,7,,,3.1,4.2,5,72,0,80,80,140,16,3,3,17.2,0.57,127.6,0,0.2,0.1
5,163,"curd, yogurt",,#N/A,#N/A,1.03,,,6,,7,kg,300,300,1,Milk/curd,Milk/curd,Milk/curd,7,,,21.6,18.6,16,337,0,125,388,275,7.5,12,2,76.5,0.02,755,7,2,0.28
5,2,"coarse grains - other sources& (jowar, bajra, maize, barley, ragi, small millets & its products)",coarse,nutri-cereal,nutri-cereal (other),1,,1,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,70,"coarse grains&- free$ (jowar, bajra, maize, barley, ragi, small millets)",coarse,nutri-cereal,nutri-cereal (subsidised),1,F,1,1,PMGKAY or other state-specific scheme,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,1,"coarse grains-PDS& (jowar, bajra, maize, barley, ragi, small millets)",coarse,nutri-cereal,nutri-cereal (subsidised),1,F,1,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,64,bajra & its products (free - PMGKAY or other),bajra,nutri-cereal,nutri-cereal (subsidised),1,F,2,1,PMGKAY or other state-specific scheme,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,116,bajra & its products (other sources),bajra,nutri-cereal,nutri-cereal (other),1,,2,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,56,bajra & its products (PDS),bajra,nutri-cereal,nutri-cereal (subsidised),1,P,2,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,66,barley & its products (free - PMGKAY or other),barley,nutri-cereal,nutri-cereal (subsidised),1,F,2,1,PMGKAY or other state-specific scheme,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,118,barley & its products (other sources),barley,nutri-cereal,nutri-cereal (other),1,,2,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,58,barley & its products (PDS),barley,nutri-cereal,nutri-cereal (subsidised),1,P,2,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,63,jowar & its products (free - PMGKAY or other),jowar,nutri-cereal,nutri-cereal (subsidised),1,F,2,1,PMGKAY or other state-specific scheme,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,115,jowar & its products (other sources),jowar,nutri-cereal,nutri-cereal (other),1,,2,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,55,jowar & its products (PDS),jowar,nutri-cereal,nutri-cereal (subsidised),1,P,2,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,65,maize & its products  (free - PMGKAY or other),maize,nutri-cereal,nutri-cereal (subsidised),1,F,2,1,PMGKAY or other state-specific scheme,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,117,maize & its products  (other sources),maize,nutri-cereal,nutri-cereal (other),1,,2,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,57,maize & its products  (PDS),maize,nutri-cereal,nutri-cereal (subsidised),1,P,2,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,67,ragi & its products (free - PMGKAY or other),ragi,nutri-cereal,nutri-cereal (subsidised),1,F,2,1,PMGKAY or other state-specific scheme,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,121,ragi & its products (other sources),ragi,nutri-cereal,nutri-cereal (other),1,,2,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,59,ragi & its products (PDS),ragi,nutri-cereal,nutri-cereal (subsidised),1,P,2,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,68,small millets & its products (free - PMGKAY or other),small millets,nutri-cereal,nutri-cereal (subsidised),1,F,2,1,PMGKAY or other state-specific scheme,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,120,small millets & its products (other sources),small millets,nutri-cereal,nutri-cereal (other),1,,2,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,60,small millets & its products (PDS),small millets,nutri-cereal,nutri-cereal (subsidised),1,P,2,1,,30,kg,62.5,65,1,Cereals and nutricereals,Coarse grains,Coarse grains,8,,,9.9,2.7,65,330,7,355.56,156,2178,113,24,0,1,6.1,60.4,73.9,3.2,2.122
5,167,others,,#N/A,#N/A,1,,,6,"092 - other milk products& (lassi, butter milk, others)",7,kg,0,0,1,other,other,#N/A,#N/A,,,21.6,18.6,16,337,0,125,388,275,7.5,12,2,76.5,0.02,755,7,2,0.28
5,166,ice-cream,,#N/A,#N/A,1,,,6,,7,-,0,0,1,other,other,#N/A,#N/A,,,21.6,18.6,16,337,0,125,388,275,7.5,12,2,76.5,0.02,755,7,2,0.28
5,73,salt –free$,,#N/A,#N/A,1,F,,7,PMGKAY or other state-specific scheme,30,kg,0,0,1,,,Salt,14,,,,,,,,,,,,,,,,,,,
5,178,salt - PDS,,#N/A,#N/A,1,P,,7,,30,kg,0,0,1,,,Salt,14,,,,,,,,,,,,,,,,,,,
5,179,salt & sugar: sub-total,,#N/A,#N/A,1,T,,7,,30,kg,0,0,1,,,Salt,14,,,,,,,,,,,,,,,,,,,
5,170,salt – other sources,,#N/A,#N/A,1,,,7,,30,kg,0,0,1,,,Salt,14,,,,,,,,,,,,,,,,,,,
5,173,jaggery (gur),,#N/A,#N/A,1,,,7,,30,kg,0,0,1,,,Sugar,12,,,,,,,,,,,,,,,,,,,
5,174,"candy, misri",,#N/A,#N/A,1,,,7,,30,kg,0,0,1,,,Sugar,12,,,,,,,,,,,,,,,,,,,
5,175,honey,,#N/A,#N/A,1,,,7,,30,kg,0,0,1,,,Sugar,12,,,,,,,,,,,,,,,,,,,
